ID,second_category,third_category,job,손재주,미적감각,소통,문서,운영관리,신체,판단력위기대응,전문지식기술,논리,디지털,status,정밀도유형
1,스포츠·레크리에이션직,경기 심판 및 경기 기록원,경기심판 및 경기기록원,0.8,1.1,3.3,3.4,1.4,1.8,3.1,1.9,3.0,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
2,스포츠·레크리에이션직,스포츠 감독 및 코치,스포츠감독 및 코치,2.1,1.0,4.0,2.2,3.1,3.2,4.3,1.9,3.1,0.9,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
3,스포츠·레크리에이션직,"스포츠강사, 레크리에이션강사 및 기타 관련 전문가",스포츠강사,3.1,1.3,2.9,1.0,1.4,4.1,2.5,1.3,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
4,스포츠·레크리에이션직,"스포츠강사, 레크리에이션강사 및 기타 관련 전문가",스포츠트레이너,3.3,1.2,2.9,1.0,1.5,4.2,2.5,2.0,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
5,스포츠·레크리에이션직,"스포츠강사, 레크리에이션강사 및 기타 관련 전문가",레크리에이션전문가,2.0,3.1,3.6,1.0,2.1,3.2,2.4,1.2,1.5,0.1,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
6,스포츠·레크리에이션직,직업 운동선수,직업운동선수,2.2,2.3,2.0,0.2,0.5,4.7,1.5,1.3,1.5,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
7,스포츠·레크리에이션직,직업 운동선수,프로게이머,2.6,2.4,2.1,1.5,0.5,1.0,1.5,2.0,3.0,3.6,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
8,예술·디자인·방송직,가수 및 성악가,가수,1.1,4.7,2.8,0.5,0.5,2.2,2.3,1.9,1.5,0.2,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
9,예술·디자인·방송직,가수 및 성악가,성악가,1.1,4.1,2.7,1.2,0.5,2.9,1.5,2.0,2.3,0.1,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
10,예술·디자인·방송직,감독 및 기술감독,방송연출가,0.8,3.7,4.1,2.5,4.0,1.7,4.1,2.8,3.3,2.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
