ID,second_category,third_category,job,손재주,미적감각,소통,문서,운영관리,신체,판단력위기대응,전문지식기술,논리,디지털,status,정밀도유형
1,영업·판매직,기술 영업원,기술영업원,0.7,1.1,4.1,2.5,2.2,1.2,3.2,2.5,2.3,2.2,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
2,영업·판매직,노점 및 이동 판매원,노점 및 이동판매원,2.4,1.6,5.0,1.9,4.9,4.1,5.0,2.1,3.6,0.0,"LLM추정(저신뢰,미검수)",실측
3,영업·판매직,매장 계산원 및 요금 정산원,매장계산원 및 요금정산원,0.0,0.5,3.3,1.5,1.3,1.3,1.5,1.1,1.5,2.1,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
4,영업·판매직,매표원 및 복권 판매원,매표원 및 복권판매원,0.1,0.4,3.3,1.5,1.4,0.4,1.5,1.2,1.5,2.3,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
5,영업·판매직,방문 판매원,방문판매원,0.7,1.2,4.0,1.5,2.0,2.0,2.4,1.1,2.3,1.4,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
6,영업·판매직,부동산 컨설턴트 및 중개인,부동산중개인,0.0,0.4,4.8,2.5,2.2,0.5,3.2,1.8,2.3,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
7,영업·판매직,상점 판매원,상점판매원,1.0,0.3,4.0,1.5,1.4,1.3,2.5,1.1,1.5,1.4,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
8,영업·판매직,상품 대여원,상품대여원,1.0,0.3,4.0,1.5,2.1,1.3,2.5,1.1,1.5,1.4,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
9,영업·판매직,상품 중개인 및 경매사,상품중개인 및 경매사,0.1,1.2,3.3,2.5,3.0,1.0,3.2,1.9,3.1,1.4,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
10,영업·판매직,소규모 상점 경영 및 일선 관리 종사원,소규모판매점장,0.7,1.2,3.3,2.5,3.8,1.1,3.3,1.2,2.3,2.2,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
11,영업·판매직,온라인 판매원,온라인판매원,0.9,2.2,2.4,2.5,2.1,0.2,2.4,1.3,2.4,3.9,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
12,영업·판매직,자동차 영업원,자동차영업원,0.0,1.8,5.0,2.8,2.6,1.6,4.8,0.8,3.0,2.2,"LLM추정(저신뢰,미검수)",실측
13,영업·판매직,제품·광고 영업원,제품광고영업원,0.0,2.0,4.1,2.5,1.3,1.1,2.4,1.9,2.4,2.1,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
14,영업·판매직,주유원(가스충전원),주유원,2.3,0.5,2.0,0.3,1.3,2.4,0.5,0.5,0.5,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
15,영업·판매직,텔레마케터,텔레마케터,0.0,0.9,5.0,4.2,2.8,1.3,2.3,1.6,2.5,3.3,"LLM추정(저신뢰,미검수)",실측
16,영업·판매직,통신 기기·서비스 판매원,통신기기·서비스판매원,0.8,1.4,3.2,1.5,1.2,1.3,1.5,1.1,2.3,2.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
17,영업·판매직,해외 영업원,해외영업원,0.0,0.3,4.8,2.5,2.2,0.5,3.2,1.8,3.0,2.2,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
18,영업·판매직,홍보 도우미 및 판촉원,홍보도우미 및 판촉원,1.1,2.4,2.9,0.5,0.5,2.3,1.5,0.5,1.5,0.2,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
19,운전·운송직,관제사,항공교통관제사,1.8,3.3,3.4,4.6,4.8,0.0,4.5,4.0,5.0,2.9,"LLM추정(저신뢰,미검수)",실측
20,운전·운송직,관제사,선박교통관제사,1.5,1.1,3.3,3.3,3.0,1.8,4.1,2.7,4.6,3.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
21,운전·운송직,관제사,철도교통관제사,1.6,1.4,3.1,3.4,3.2,0.9,4.1,2.9,4.7,3.1,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
