ID,second_category,third_category,job,손재주,미적감각,소통,문서,운영관리,신체,판단력위기대응,전문지식기술,논리,디지털,status,정밀도유형
1,경찰·소방·교도직,경찰관 및 수사관,경찰관,2.4,0.2,3.2,2.1,2.3,4.0,4.9,2.7,3.1,0.8,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
2,경찰·소방·교도직,경찰관 및 수사관,해양경찰관,2.4,0.2,3.2,2.1,2.3,4.0,4.9,2.7,3.1,0.8,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
3,경찰·소방·교도직,교도관 및 소년원학교 교사,교도관,1.3,0.2,3.3,2.2,2.1,3.0,4.1,1.8,2.4,1.1,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
4,경찰·소방·교도직,소방관,소방관,4.1,1.3,3.5,1.0,2.5,4.7,5.0,1.7,3.7,0.0,"LLM추정(저신뢰,미검수)",실측
5,교육직,기술·기능계 강사,기술·기능계강사,1.5,0.4,4.0,3.4,2.1,1.1,2.4,2.6,2.3,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
6,교육직,기타 교사,보조교사,0.1,0.4,4.0,2.5,1.4,1.2,2.4,1.9,2.3,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
7,교육직,대학 교수,대학교수,0.2,0.5,3.8,4.2,2.4,0.2,4.0,4.5,4.8,2.1,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
8,교육직,대학 시간강사,대학시간강사,0.1,0.4,3.9,4.2,1.3,0.4,3.1,3.5,3.9,2.3,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
9,교육직,문리·어학 강사,문리학원강사,0.1,0.4,4.0,3.4,1.4,0.4,2.4,2.6,3.0,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
10,교육직,문리·어학 강사,외국어강사,0.0,0.4,4.8,3.4,1.4,0.5,2.5,1.9,2.3,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
11,교육직,예능 강사,예능강사,0.8,3.2,3.7,2.4,1.3,1.2,2.3,2.6,2.4,0.3,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
12,교육직,유치원 교사,유치원교사,0.0,1.1,4.8,2.5,1.4,1.2,2.5,1.9,2.3,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
13,교육직,장학관·연구관 및 교육 전문가,교재·교구 및 이러닝교육전문가,0.2,1.4,3.1,4.1,2.1,0.2,3.1,2.7,3.1,3.9,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
14,교육직,중·고등학교 교사,중·고등학교교사,0.0,0.4,4.1,3.4,1.4,1.2,3.2,2.6,3.0,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
15,교육직,초등학교 교사,초등학교교사,0.0,1.1,4.8,3.4,1.4,1.2,2.5,1.9,2.3,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
16,교육직,컴퓨터 강사,컴퓨터강사,0.0,0.3,4.0,3.4,2.0,0.5,3.2,2.6,3.1,3.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
17,교육직,특수교육 교사,특수교육교사,0.0,1.2,4.9,3.4,2.1,1.2,3.2,3.5,3.1,1.4,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
18,교육직,학습지·교육교구 방문강사,학습지·교육교구방문강사,0.1,0.4,4.0,2.5,1.4,0.4,2.4,1.9,2.3,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
19,군인,부사관,부사관,2.5,0.3,3.1,2.0,3.1,4.2,4.2,2.8,3.1,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
20,군인,위관급 장교,위관급 장교,1.2,0.3,4.1,3.0,3.9,3.0,4.3,2.6,3.1,1.1,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
